index1,index2,mag,dist
ZC 0h 672,PPM 276117,0.0,1.59
ZC 0h 673,PPM 242922,0.0,2.61
ZC 0h 690,PPM 242931,0.0,3.73
ZC 0h 693,PPM 242932,0.0,0.83
ZC 0h 1191,PPM 276442,0.0,0.62
ZC 0h 1201,PPM 276448,0.0,1.71
ZC 0h 1387,PPM 243461,0.0,0.58
ZC 0h 1397,PPM 243471,0.0,0.49
ZC 0h 1459,PPM 305492,0.0,1.32
ZC 1h 587,PPM 244004,0.0,1.78
ZC 1h 788,PPM 277154,0.0,2.59
ZC 5h 202,PPM 354550,0.0,1.36
ZC 5h 534,PPM 281315,0.0,2.04
ZC 5h 1088,PPM 368774,0.0,1.10
ZC 6h 213,PPM 369005,0.0,3.78
ZC 6h 333,PPM 310487,0.0,2.18
ZC 6h 430,PPM 310508,0.0,1.98
ZC 6h 1522,PPM 250718,0.0,2.10
ZC 6h 2061,PPM 283121,0.0,2.51
ZC 6h 2298,PPM 251120,0.0,3.25
ZC 6h 2324,PPM 355614,0.0,2.66
ZC 6h 2418,PPM 251180,0.0,3.93
ZC 7h 33,PPM 311428,0.0,5.44
ZC 7h 2892,PPM 284362,0.0,2.18
ZC 7h 3157,PPM 284429,0.0,1.77
ZC 7h 3217,PPM 740449,0.0,1.61
ZC 7h 3794,PPM 284585,0.0,1.15
ZC 8h 473,PPM 312671,0.0,2.31
ZC 8h 3254,PPM 337180,0.0,4.23
ZC 8h 3404,PPM 313544,0.0,1.74
ZC 8h 3434,PPM 313556,0.0,1.42
ZC 8h 3454,PPM 313568,0.0,2.72
ZC 8h 3507,GSC 0768300155,0.0,0.72
ZC 8h 3512,GSC 0768300265,0.0,3.18
ZC 8h 3513,GSC 0768300265,0.0,4.27
ZC 8h 3526,PPM 313595,0.0,1.46
ZC 8h 3530,PPM 313598,0.0,0.19
ZC 8h 3552,PPM 313608,0.0,2.82
ZC 8h 3620,PPM 313633,0.0,1.00
ZC 8h 3664,PPM 313645,0.0,2.43
