index1,index2,mag,dist
OA 2,PPM 242531,9.0,5.94
OA 4,PPM 208380,7.0,1.68
OA 23247,PPM 208383,9.0,4.97
OA 6,PPM 208389,7.5,1.48
OA 17,PPM 208392,9.0,13.07
OA 7,PPM 242535,8.5,3.32
OA 9,PPM 208393,9.0,3.97
OA 10,PPM 242540,7.5,3.09
OA 11,PPM 242542,8.5,2.87
OA 12,PPM 208398,5.5,2.61
OA 1,PPM 208403,9.0,1.07
OA 13,PPM 242549,7.0,1.80
OA 15,PPM 242552,9.0,5.14
OA 24,PPM 242553,7.0,4.71
OA 5,PPM 242558,9.0,0.96
OA 18,PPM 242561,6.0,4.34
OA 21,PPM 208419,9.0,6.99
OA 22,PPM 242564,9.0,4.88
OA 23,PPM 208422,8.5,3.73
OA 25,PPM 242567,9.0,2.62
OA 26,PPM 208428,9.0,4.49
OA 27,PPM 242571,8.0,0.46
OA 16,PPM 208429,9.0,4.77
OA 28,PPM 208430,9.0,5.18
OA 30,PPM 208433,9.0,3.69
OA 31,PPM 208435,9.0,3.29
OA 32,PPM 208438,9.0,1.06
OA 33,PPM 208439,8.0,3.40
OA 36,PPM 242578,8.5,2.56
OA 37,PPM 208446,7.5,1.67
OA 38,PPM 208450,8.0,2.14
OA 39,PPM 242587,8.5,1.57
OA 35,PPM 242586,9.0,2.18
OA 40,PPM 242588,9.0,5.99
OA 41,PPM 242590,9.0,3.13
OA 42,PPM 242593,8.5,2.32
OA 43,PPM 208469,9.0,4.96
OA 44,PPM 208470,9.0,7.87
OA 45,PPM 242597,8.0,2.40
OA 46,PPM 723483,9.0,8.96
OA 47,PPM 208476,5.0,4.74
OA 48,PPM 208477,8.5,2.96
OA 49,PPM 208480,8.5,3.57
OA 50,PPM 242605,8.5,2.65
OA 51,PPM 242608,8.0,3.12
OA 52,PPM 208490,9.0,2.45
OA 53,PPM 242611,8.5,2.54
OA 54,PPM 275811,8.5,8.02
OA 55,PPM 242617,6.5,6.58
OA 57,PPM 242622,8.0,0.27
OA 59,PPM 242624,8.0,1.48
OA 60,PPM 709784,9.0,4.46
OA 61,PPM 208505,9.0,1.28
OA 62,PPM 242628,8.5,5.39
OA 64,PPM 242631,6.0,0.99
OA 65,PPM 242633,7.0,2.19
