index1,index2,mag,dist
B 1,SAO 231943,6.0,15.44
B 3,SAO 214983,4.0,16.82
B 4,SAO 214987,7.0,4.25
B 6,SAO 255642,6.0,4.97
B 7,SAO 166103,6.0,8.93
B 8,SAO 192388,6.0,29.50
B 10,SAO 231967,7.0,10.58
B 12,SAO 192406,6.0,28.11
B 13,SAO 215009,7.0,12.20
B 14,SAO 231976,6.0,14.98
B 15,SAO 231979,6.0,12.19
B 16,SAO 215018,6.0,5.73
B 17,SAO 192418,6.0,18.66
B 19,SAO 192430,6.0,13.27
B 20,SAO 255650,6.0,17.02
B 21,SAO 192442,6.0,5.22
B 25,SAO 215047,6.0,20.20
B 26,SAO 248163,5.0,8.60
B 27,SAO 192474,6.0,20.99
B 28,SAO 255660,7.0,1.94
B 29,SAO 248167,6.0,0.68
B 30,SAO 255660,7.5,5.49
B 31,SAO 166207,6.0,31.07
B 33,SAO 255663,6.0,7.17
B 34,SAO 192495,6.0,23.01
B 35,SAO 232027,6.0,23.12
B 40,SAO 255670,3.0,9.63
B 43,SAO 215092,5.0,23.69
B 44,SAO 215093,2.0,22.81
B 45,SAO 192545,6.0,3.67
B 46,SAO 215103,6.0,40.14
B 47,SAO 232054,8.0,26.07
B 49,SAO 232055,6.0,19.38
B 51,SAO 232062,7.0,23.81
B 52,SAO 215112,6.0,32.13
B 58,SAO 248201,5.0,8.08
B 59,SAO 248202,5.0,8.89
B 61,SAO 248208,5.5,10.47
B 64,SAO 232087,7.0,25.20
B 65,SAO 215146,6.0,7.63
B 66,SAO 255679,6.0,18.83
B 69,SAO 215157,6.0,26.18
B 70,SAO 232099,6.0,17.30
B 73,SAO 255683,6.0,27.12
B 75,SAO 255686,8.0,18.15
B 76,SAO 255686,8.0,23.76
B 77,SAO 232114,6.0,9.90
B 79,SAO 215185,6.0,5.15
B 80,SAO 255690,6.0,5.54
B 82,SAO 215192,6.0,28.62
B 85,SAO 255689,6.5,20.37
B 88,SAO 255694,7.0,6.64
B 90,SAO 255694,9.0,9.09
B 92,SAO 232162,5.0,11.15
B 95,SAO 215220,7.5,18.58
B 96,SAO 215221,6.0,21.37
B 97,SAO 232168,6.0,21.36
B 99,SAO 215225,6.0,11.43
B 101,SAO 255700,7.0,14.39
B 102,SAO 255699,8.0,7.51
B 106,SAO 215245,6.0,18.18
B 108,SAO 255710,6.0,12.45
B 112,SAO 255713,6.0,4.94
B 117,SAO 192804,6.0,35.28
B 120,SAO 255717,7.0,17.22
B 121,SAO 232227,6.0,12.22
B 122,SAO 248281,6.0,15.94
B 123,SAO 255721,6.0,40.89
B 125,SAO 166716,5.0,21.14
B 127,SAO 248293,6.0,6.01
B 128,SAO 248291,6.0,2.38
B 129,SAO 255723,7.0,19.99
B 130,SAO 232255,7.0,20.28
B 132,SAO 192874,6.0,25.91
B 133,SAO 192884,6.0,13.92
B 134,SAO 248301,7.0,12.09
B 136,SAO 232268,6.0,12.28
B 137,SAO 215343,6.0,27.85
B 138,SAO 166774,6.0,22.66
B 139,SAO 255729,6.5,16.13
B 140,SAO 255730,7.0,8.53
B 141,SAO 248308,6.0,20.23
