index1,index2,mag,dist
OA 1,SAO 21123,8.5,3.10
OA 2,SAO 36087,7.0,46.83
OA 4,SAO 4042,8.5,1.47
OA 5,SAO 4042,7.5,0.17
OA 6,SAO 36089,8.0,1.80
OA 7,SAO 36089,8.5,3.98
OA 8,SAO 10999,6.5,2.10
OA 9,SAO 10999,7.0,2.97
OA 10,SAO 4043,7.0,0.76
OA 11,SAO 21126,9.5,5.91
OA 12,SAO 11000,8.5,0.92
OA 13,SAO 4044,9.0,0.96
OA 14,SAO 21129,8.5,5.81
OA 15,SAO 36095,9.5,4.39
OA 16,SAO 4047,9.0,0.85
OA 17,SAO 11002,8.5,3.06
OA 18,SAO 11003,9.5,3.38
OA 19,SAO 4048,7.0,2.46
OA 20,SAO 36103,8.0,1.48
OA 21,SAO 21134,9.0,0.95
OA 22,SAO 11005,7.5,3.52
OA 23,SAO 11006,9.0,4.98
OA 24,SAO 11007,8.5,2.85
OA 25,SAO 11007,8.5,2.51
OA 26,SAO 36109,7.0,3.90
OA 27,SAO 21142,9.5,1.80
OA 28,SAO 11009,9.5,6.96
OA 29,SAO 4049,9.0,1.62
OA 30,SAO 4049,8.5,2.96
OA 31,SAO 11008,9.0,2.30
OA 32,SAO 11010,9.0,2.78
OA 33,SAO 21150,8.0,7.16
OA 35,SAO 21152,8.5,2.08
OA 36,SAO 4050,8.5,1.69
OA 37,SAO 4050,8.5,0.62
OA 38,SAO 11012,9.0,2.94
OA 39,SAO 21153,9.0,4.96
OA 40,SAO 11013,8.0,3.89
OA 41,SAO 21154,7.0,2.07
OA 42,SAO 21156,7.0,5.02
OA 43,SAO 36122,8.5,0.28
OA 44,SAO 36123,5.0,0.21
OA 45,SAO 36126,8.5,1.95
OA 46,SAO 21162,7.0,1.21
OA 47,SAO 21164,6.5,1.68
OA 48,SAO 21165,8.0,3.81
OA 49,SAO 36128,9.0,4.02
OA 50,SAO 11018,9.0,3.34
OA 51,SAO 36130,9.0,1.83
OA 52,SAO 21173,9.0,1.87
OA 53,SAO 11019,9.0,3.93
OA 54,SAO 21174,8.5,3.61
OA 55,SAO 4053,9.5,1.07
OA 56,SAO 21175,7.5,4.07
OA 57,SAO 11020,9.0,0.80
OA 58,SAO 11020,8.0,4.43
OA 59,SAO 11020,8.5,2.21
OA 61,SAO 21176,9.0,4.12
OA 62,SAO 36135,9.0,1.44
OA 63,SAO 4054,7.0,0.78
OA 64,SAO 4054,7.5,0.77
OA 65,SAO 36137,8.5,9.93
OA 66,SAO 21179,9.0,1.57
OA 67,SAO 36138,8.0,2.79
OA 68,SAO 11023,9.5,4.75
OA 69,SAO 11023,9.5,4.00
OA 70,SAO 21181,8.5,2.70
OA 71,SAO 21183,8.5,1.22
OA 72,SAO 21186,9.0,0.57
OA 73,SAO 21185,9.0,3.46
OA 75,SAO 21187,8.5,0.96
OA 77,SAO 11026,9.5,2.44
OA 78,SAO 11026,9.0,3.70
OA 79,SAO 21193,7.0,6.87
OA 80,SAO 36146,9.0,1.06
OA 82,SAO 21199,9.0,6.54
OA 83,SAO 11032,9.0,1.18
OA 84,SAO 36152,9.0,3.01
OA 85,SAO 21205,9.5,1.10
OA 86,SAO 11036,8.5,4.15
OA 88,SAO 36155,9.5,2.14
OA 89,SAO 36159,9.0,10.25
OA 90,SAO 21208,8.0,0.38
OA 91,SAO 21208,7.0,1.63
OA 92,SAO 4058,9.5,1.57
OA 93,SAO 11039,8.5,1.76
OA 94,SAO 21209,9.0,4.73
OA 95,SAO 21210,8.5,2.93
OA 96,SAO 11040,8.5,2.76
OA 97,SAO 11041,7.5,0.93
OA 98,SAO 36164,7.5,3.78
OA 99,SAO 11043,9.0,1.86
OA 100,SAO 11044,7.5,1.85
OA 101,SAO 36166,9.0,1.61
OA 102,SAO 36167,9.0,3.00
OA 103,SAO 21217,7.0,3.53
OA 104,SAO 36168,8.0,5.30
OA 105,SAO 11045,8.0,3.77
OA 106,SAO 11047,9.0,5.89
OA 107,SAO 4061,9.0,0.88
OA 108,SAO 4062,7.0,0.65
OA 109,SAO 11050,8.5,4.54
OA 110,SAO 21222,9.0,2.44
OA 111,SAO 36180,9.0,5.97
OA 112,SAO 36181,9.0,7.68
OA 113,SAO 4063,8.5,2.21
OA 114,SAO 21224,6.5,2.02
OA 115,SAO 4064,8.0,1.50
OA 116,SAO 11054,8.0,2.87
OA 117,SAO 21228,8.5,4.29
OA 118,SAO 36185,8.5,2.39
OA 119,SAO 11055,8.5,2.02
OA 120,SAO 11056,8.0,1.59
OA 121,SAO 4068,9.5,3.16
OA 122,SAO 11060,8.0,4.26
OA 123,SAO 4069,8.5,3.53
OA 124,SAO 4066,8.5,1.22
OA 125,SAO 11061,9.0,4.19
OA 126,SAO 21237,8.0,4.00
OA 127,SAO 11062,8.5,2.89
OA 128,SAO 11063,9.0,4.49
OA 129,SAO 21240,9.5,2.14
OA 130,SAO 21241,9.0,3.34
OA 131,SAO 11067,8.5,0.87
OA 132,SAO 36194,9.0,1.49
OA 133,SAO 36195,8.5,59.39
OA 134,SAO 11069,8.0,2.39
OA 135,SAO 21249,7.0,1.87
OA 136,SAO 4070,9.0,1.14
OA 137,SAO 36220,9.0,3.51
OA 138,SAO 21251,9.0,2.78
