index1,index2,mag,dist
GC 1,HD 159,9.0,1.11
GC 2,HD 172,8.5,0.91
GC 3,HD 178,8.7,0.76
GC 4,HD 181,9.0,1.40
GC 5,HD 190,7.2,0.33
GC 6,HD 189,8.5,1.47
GC 7,HD 203,6.3,0.35
GC 8,HD 213,6.7,0.82
GC 9,HD 228,8.0,1.12
GC 10,HD 243,8.0,0.17
GC 11,HD 242,9.0,1.07
GC 12,HD 257,8.5,1.46
GC 13,HD 259,8.5,0.44
GC 14,HD 256,6.3,0.53
GC 15,HD 268,6.9,1.10
GC 16,HD 276,8.0,0.10
GC 17,HD 273,7.7,0.55
GC 18,HD 283,8.5,1.78
GC 19,HD 285,8.0,1.25
GC 20,HD 307,8.2,0.68
GC 21,HD 310,7.2,1.07
GC 22,HD 315,6.5,0.44
GC 23,HD 322,8.5,0.51
GC 24,HD 321,8.5,0.23
GC 25,HD 320,8.5,0.82
GC 26,HD 324,8.5,1.67
GC 27,HD 319,5.9,0.40
GC 28,HD 323,7.0,0.66
GC 29,HD 340,8.2,0.63
GC 30,HD 344,5.7,1.23
GC 31,HD 352,6.4,1.69
GC 32,HD 368,8.0,1.13
GC 34,HD 360,6.2,1.55
GC 35,HD 369,7.2,0.40
GC 36,HD 364,8.0,1.50
GC 37,HD 392,7.7,1.42
GC 38,HD 385,7.7,0.61
GC 39,HD 393,8.2,1.21
GC 40,HD 402,6.2,0.49
GC 41,HD 406,7.5,1.97
GC 42,HD 427,7.7,0.66
GC 43,HD 428,8.5,0.37
GC 44,HD 439,7.7,0.75
GC 45,HD 442,8.0,0.93
GC 46,HD 437,7.5,0.22
GC 47,HD 456,8.7,1.38
GC 48,HD 457,8.0,0.82
GC 49,HD 466,7.7,0.36
GC 50,HD 469,6.4,1.07
GC 52,HD 476,8.7,1.02
GC 53,HD 479,7.5,0.33
GC 55,HD 480,7.0,1.03
GC 56,HD 493,5.5,1.41
GC 57,HD 496,3.8,0.45
GC 60,HD 537,8.5,0.40
GC 61,HD 536,8.5,0.58
GC 63,HD 546,8.7,1.60
GC 64,HD 545,7.5,0.27
GC 65,HD 564,7.7,0.70
GC 66,HD 562,7.2,1.27
GC 67,HD 565,6.6,1.04
GC 68,HD 563,8.0,1.00
GC 69,HD 576,8.7,0.47
GC 70,HD 587,6.1,1.71
GC 71,HD 602,8.5,0.79
GC 72,HD 610,7.5,0.60
GC 73,HD 626,8.0,1.13
GC 75,HD 634,8.5,1.48
GC 76,HD 646,7.0,1.99
GC 77,HD 645,5.9,1.01
GC 78,HD 636,5.6,0.80
GC 79,HD 657,8.5,0.94
GC 80,HD 655,8.0,0.30
GC 81,HD 659,8.2,1.52
GC 82,HD 656,7.2,3.43
GC 84,HD 668,9.2,0.21
GC 86,HD 682,8.5,0.18
GC 87,HD 688,7.5,0.81
GC 88,HD 693,5.1,1.57
GC 89,HD 706,7.5,1.16
GC 90,HD 731,7.0,0.86
GC 91,HD 720,5.4,1.52
GC 92,HD 732,8.5,0.45
GC 93,HD 741,8.5,1.86
GC 94,HD 740,8.5,1.45
GC 95,HD 739,5.4,1.01
GC 96,HD 768,8.0,1.07
GC 97,HD 772,8.2,0.99
GC 98,HD 770,6.6,1.19
GC 99,HD 780,6.8,1.46
GC 100,HD 790,8.0,1.49
GC 101,HD 787,5.4,2.54
GC 102,HD 791,8.0,1.00
GC 103,HD 789,8.5,0.94
GC 104,HD 783,7.7,1.14
GC 105,HD 793,7.5,2.17
GC 106,HD 822,8.5,0.92
GC 107,HD 834,7.7,0.69
GC 108,HD 845,7.5,1.46
GC 109,HD 859,8.2,1.22
GC 110,HD 856,9.0,0.29
GC 111,HD 855,8.5,0.93
GC 112,HD 868,8.5,0.85
GC 113,HD 870,7.5,0.58
GC 114,HD 877,6.9,0.59
GC 115,HD 888,8.0,0.91
GC 116,HD 903,7.2,2.27
GC 117,HD 901,7.7,1.18
GC 118,HD 902,7.0,0.59
GC 119,HD 900,8.7,1.25
GC 120,HD 923,8.5,0.25
GC 121,HD 926,9.0,0.54
GC 122,HD 942,6.0,0.79
GC 123,HD 941,7.0,1.03
GC 124,HD 943,6.3,1.25
GC 125,HD 957,6.9,0.56
GC 126,HD 956,8.7,0.92
GC 127,HD 980,7.2,0.88
GC 129,HD 991,7.2,0.48
GC 130,HD 990,9.0,0.63
GC 131,HD 1002,8.0,5.84
GC 132,HD 1000,7.0,1.11
GC 133,HD 999,7.0,1.66
GC 134,HD 1004,6.6,0.95
GC 135,HD 1014,5.4,1.08
GC 136,HD 1018,9.0,2.32
GC 137,HD 1015,7.7,1.89
GC 138,HD 1020,8.0,0.72
GC 139,HD 1025,7.5,0.75
GC 140,HD 1022,7.0,1.96
GC 141,HD 1042,8.5,0.66
GC 142,HD 1038,4.3,0.42
GC 143,HD 1037,6.8,1.91
GC 144,HD 1051,7.0,0.97
GC 145,HD 1066,7.2,1.02
GC 146,HD 1064,5.9,1.38
GC 147,HD 1032,6.4,2.39
GC 148,HD 1078,7.2,2.14
GC 149,HD 1089,6.4,2.54
GC 150,HD 1090,7.7,0.70
GC 151,HD 1097,9.0,0.96
GC 152,HD 1103,8.7,0.80
GC 153,HD 1100,8.2,0.61
GC 154,HD 1102,8.2,0.89
GC 155,HD 1116,7.5,0.66
GC 156,HD 1116,10.0,15.26
GC 157,HD 1115,8.0,1.25
GC 158,HD 1125,8.5,2.46
GC 159,HD 1126,8.5,0.38
GC 160,HD 1138,7.5,0.93
GC 161,HD 1136,9.2,1.69
GC 162,HD 1155,8.0,1.45
GC 163,HD 1156,9.2,0.91
GC 164,HD 1157,8.5,1.04
GC 165,HD 1182,8.5,1.85
GC 166,HD 1189,8.0,1.26
GC 167,HD 1187,5.9,1.09
GC 168,HD 1188,9.0,0.46
GC 169,HD 1190,8.7,0.75
GC 171,HD 1199,8.5,1.57
GC 172,HD 1205,8.2,0.65
GC 173,HD 1218,8.0,0.43
GC 174,HD 1235,8.0,0.80
GC 175,HD 1221,6.7,2.20
GC 176,HD 1234,9.0,4.24
GC 177,HD 1231,8.0,2.43
GC 178,HD 1233,7.5,1.68
GC 179,HD 1248,9.0,0.44
GC 180,HD 1256,6.5,1.80
GC 181,HD 1250,8.0,1.27
GC 182,HD 1237,7.0,1.09
GC 183,HD 1259,6.5,2.79
GC 184,HD 1261,7.4,0.96
GC 185,HD 1271,8.0,0.68
GC 187,HD 1273,7.0,0.58
GC 188,HD 1294,9.0,0.52
GC 189,HD 1299,9.0,0.57
GC 190,HD 1320,7.5,1.66
GC 191,HD 1323,8.5,0.25
GC 192,HD 1345,8.7,0.17
GC 194,HD 1343,6.6,0.36
GC 195,HD 1324,7.0,1.25
GC 196,HD 1347,9.5,1.29
GC 197,HD 1358,8.5,1.49
GC 198,HD 1369,7.7,0.66
GC 200,HD 1378,8.7,1.64
GC 201,HD 1388,6.7,3.67
GC 202,HD 1382,8.5,1.25
GC 203,HD 1389,8.5,0.83
GC 204,HD 1421,7.5,1.64
GC 205,HD 1431,6.6,1.13
GC 206,HD 1434,6.6,0.79
GC 207,HD 1445,8.5,1.07
GC 209,HD 1444,7.7,0.24
GC 210,HD 1451,8.5,1.06
GC 211,HD 1461,7.0,3.01
GC 212,HD 1452,7.2,1.39
GC 213,HD 1453,9.0,0.87
GC 214,HD 1466,7.5,0.91
GC 215,HD 1474,8.0,0.37
GC 216,HD 1455,8.0,0.55
GC 217,HD 1472,8.5,1.46
GC 218,HD 1483,6.6,1.87
GC 219,HD 1495,8.2,1.45
GC 220,HD 1498,8.7,0.68
GC 221,HD 1504,8.7,1.19
GC 222,HD 1348,7.3,0.21
GC 223,HD 1522,3.5,1.03
GC 224,HD 1530,8.0,1.01
GC 225,HD 1531,7.2,0.64
GC 226,HD 1539,7.2,2.14
GC 227,HD 1532,7.5,0.83
GC 228,HD 1542,8.0,1.23
GC 229,HD 1551,8.2,0.88
GC 230,HD 1543,8.7,2.75
GC 231,HD 1550,7.2,1.23
GC 232,HD 1567,7.0,1.30
GC 233,HD 1581,4.1,2.47
GC 234,HD 1558,8.0,1.59
GC 235,HD 1589,8.0,0.62
GC 236,HD 1591,8.5,1.16
GC 237,HD 1594,7.5,0.61
GC 238,HD 1595,9.0,0.45
GC 239,HD 1611,7.5,0.62
GC 240,HD 1592,9.5,0.48
GC 242,HD 1619,8.5,0.81
GC 243,HD 1630,9.0,1.37
GC 244,HD 1638,9.0,1.30
GC 245,HD 1656,8.5,1.07
GC 246,HD 1655,8.2,0.71
GC 247,HD 1667,7.0,0.75
GC 249,HD 1679,7.2,1.43
GC 250,HD 1683,6.7,1.52
GC 251,HD 1682,7.7,1.03
GC 252,HD 1692,9.2,1.46
GC 253,HD 1685,5.7,0.09
GC 254,HD 1686,8.0,0.76
GC 255,HD 1693,9.0,0.80
GC 256,HD 1707,8.2,2.79
GC 257,HD 1706,9.0,0.44
GC 258,HD 1721,7.5,0.27
GC 259,HD 1705,8.7,0.38
GC 261,HD 1722,9.0,1.98
GC 262,HD 1723,9.2,0.73
GC 263,HD 1737,5.3,0.80
GC 264,HD 1736,8.5,1.51
GC 265,HD 1747,8.7,0.43
GC 266,HD 1760,0.0,1.37
GC 267,HD 1763,8.7,0.90
GC 268,HD 1765,7.7,2.00
GC 269,HD 1766,7.5,0.93
GC 270,HD 1766,8.5,7.86
GC 271,HD 1777,8.0,2.57
GC 272,HD 1779,8.7,2.15
GC 273,HD 1780,9.0,1.16
GC 274,HD 1791,7.2,0.51
GC 275,HD 1797,8.5,1.43
GC 276,HD 1803,7.7,1.63
GC 277,HD 1816,8.5,1.56
GC 278,HD 1815,8.5,2.44
GC 279,HD 1801,6.4,1.11
GC 280,HD 1813,8.5,1.37
GC 281,HD 1814,8.5,0.87
GC 282,HD 1818,8.0,1.24
GC 283,HD 1817,6.7,1.57
GC 284,HD 1835,6.4,1.67
GC 285,HD 1853,8.5,1.05
GC 286,HD 1841,7.7,0.13
GC 287,HD 1854,7.5,0.97
GC 289,HD 1856,6.6,1.60
GC 290,HD 1860,7.2,0.50
GC 291,HD 1857,9.5,0.94
GC 292,HD 1855,6.9,2.68
GC 293,HD 1879,7.2,0.97
GC 294,HD 1889,9.2,1.75
GC 295,HD 1899,8.5,1.65
GC 296,HD 1909,6.6,0.93
GC 297,HD 1900,8.2,1.09
GC 298,HD 1910,8.7,1.97
GC 299,HD 1912,7.5,2.11
GC 300,HD 1923,6.8,1.22
GC 301,HD 1926,8.5,1.99
GC 302,HD 1947,9.0,1.04
GC 303,HD 1948,8.0,0.39
GC 304,HD 1960,10.0,0.24
GC 305,HD 1963,7.5,0.74
GC 306,HD 1973,8.0,0.76
GC 307,HD 1974,7.5,0.51
GC 308,HD 1987,0.0,0.40
GC 309,HD 1985,8.2,2.07
GC 310,HD 1999,7.2,2.88
GC 311,HD 2008,7.7,0.77
GC 312,HD 2002,8.0,2.66
GC 313,HD 2026,8.5,1.38
GC 314,HD 2025,8.0,3.65
GC 315,HD 2015,8.5,0.27
GC 316,HD 2023,6.4,0.89
GC 317,HD 2029,7.2,0.80
GC 318,HD 2037,8.2,0.71
GC 319,HD 2041,8.7,1.28
GC 320,HD 2069,8.5,1.47
GC 321,HD 2065,9.0,1.61
GC 323,HD 2068,8.5,0.66
GC 324,HD 2070,6.8,0.68
GC 325,HD 2078,8.2,0.62
GC 327,HD 2071,7.5,0.63
GC 328,HD 2072,8.7,1.01
GC 329,HD 2073,8.7,1.00
GC 330,HD 2088,8.0,0.41
GC 331,HD 2098,8.0,1.46
GC 332,HD 2121,8.5,1.60
GC 333,HD 2129,7.5,0.92
GC 334,HD 2119,8.7,0.65
GC 335,HD 2122,9.0,0.85
GC 336,HD 2151,2.7,6.34
GC 337,HD 2132,6.8,3.06
GC 338,HD 2163,8.5,1.94
GC 339,HD 2166,9.0,0.35
GC 340,HD 2178,7.5,1.24
GC 341,HD 2199,6.8,1.15
GC 342,HD 2168,8.7,0.88
GC 343,HD 2195,8.0,1.09
GC 344,HD 2203,8.0,0.72
GC 345,HD 2204,9.5,0.78
GC 346,HD 2224,7.2,1.11
GC 347,HD 2222,8.7,1.53
GC 348,HD 2227,8.5,1.03
GC 349,HD 2251,8.5,0.94
GC 350,HD 2257,7.5,1.24
GC 351,HD 2262,3.9,1.33
GC 352,HD 2268,6.7,0.63
GC 353,HD 2264,9.0,1.05
GC 355,HD 2261,2.4,0.84
GC 356,HD 2273,6.2,3.00
GC 357,HD 2277,9.0,0.57
GC 358,HD 2289,8.5,2.92
GC 359,HD 2280,8.5,0.46
GC 360,HD 2321,8.7,0.64
GC 362,HD 2324,7.5,0.99
GC 363,HD 2363,6.5,0.64
GC 364,HD 2348,8.5,0.85
GC 365,HD 2351,8.5,0.79
GC 366,HD 2354,7.2,1.02
GC 367,HD 2366,8.0,1.59
GC 368,HD 2376,6.8,1.12
GC 369,HD 2381,7.5,0.08
GC 370,HD 2395,6.8,0.88
GC 371,HD 2394,8.0,2.78
GC 372,HD 2417,8.7,1.11
GC 373,HD 2426,8.7,1.38
GC 374,HD 2425,8.2,0.87
GC 375,HD 2438,8.0,1.64
GC 377,HD 2429,5.2,0.35
GC 378,HD 2440,8.7,0.56
GC 379,HD 2450,9.2,1.66
GC 380,HD 2457,8.5,2.29
GC 381,HD 2455,6.7,0.52
GC 382,HD 2458,7.5,1.09
GC 383,HD 2475,6.4,0.66
GC 384,HD 2476,8.5,0.40
GC 385,HD 2466,8.5,1.11
GC 386,HD 2488,7.0,1.41
GC 387,HD 2477,6.9,0.66
GC 388,HD 2482,7.5,0.89
GC 389,HD 2481,8.7,1.82
GC 390,HD 2490,5.9,2.01
GC 391,HD 2492,9.0,1.49
GC 392,HD 2504,8.5,1.60
GC 393,HD 2505,9.5,2.17
GC 394,HD 2511,9.0,0.77
GC 395,HD 2514,8.0,3.91
GC 396,HD 2527,7.0,1.22
GC 398,HD 2529,6.5,1.78
GC 399,HD 2530,7.5,0.49
GC 400,HD 2553,8.2,0.89
GC 401,HD 2573,8.2,1.50
GC 402,HD 2570,8.2,0.66
GC 403,HD 2519,7.5,1.13
GC 405,HD 2587,8.5,2.50
GC 406,HD 2593,8.0,1.20
GC 407,HD 2598,9.0,0.33
GC 409,HD 2612,7.2,1.70
GC 410,HD 2608,7.1,1.61
GC 411,HD 2615,7.5,2.02
GC 412,HD 2629,8.0,2.45
GC 413,HD 2630,6.2,1.27
GC 414,HD 2632,6.5,5.20
GC 415,HD 2637,6.0,2.39
GC 416,HD 2643,8.2,0.53
GC 417,HD 2653,8.7,0.61
GC 418,HD 2651,8.2,1.06
GC 419,HD 2696,5.2,1.00
GC 420,HD 2698,7.7,0.48
GC 421,HD 2697,9.2,1.34
GC 423,HD 2707,8.5,1.12
GC 424,HD 2723,6.8,0.80
GC 425,HD 2724,6.5,2.03
GC 426,HD 2727,9.0,1.07
GC 427,HD 2726,5.7,1.97
GC 428,HD 2722,8.7,0.76
GC 429,HD 2721,8.5,1.08
GC 430,HD 2737,9.0,1.07
GC 431,HD 2760,7.5,0.52
GC 432,HD 2751,7.0,1.54
GC 433,HD 2761,8.7,0.85
GC 434,HD 2780,7.7,1.52
GC 435,HD 2787,9.0,0.36
GC 436,HD 2786,8.7,0.49
GC 437,HD 2802,8.2,0.18
GC 438,HD 2801,8.0,0.73
GC 439,HD 2811,7.5,0.29
