index1,index2,dist
L 9721,CPD -49°11858,9.16
L 9722,CPD -33°6441,4.31
L 9723,CPD -36°1,2.05
L 9724,CPD -23°1,5.86
L 9725,CPD -39°1,3.56
L 9726,CPD -38°3,3.75
L 9728,CPD -42°3,8.43
L 9729,CPD -26°3,14.88
L 9727,CPD -77°1,8.71
L 9730,CPD -57°6,2.56
L 9731,CPD -56°10,7.22
L 9733,CPD -63°5,6.09
L 9732,CPD -23°4,6.65
L 9735,CPD -34°5,2.65
L 9736,CPD -78°2,1.25
L 9734,CPD -79°1,4.27
L 9745,CPD -86°2,0.95
L 9737,CPD -35°8,2.09
L 9743,CPD -74°7,4.04
L 9738,CPD -22°6,4.80
L 9739,CPD -40°5,3.77
L 9740,CPD -54°19,9.54
L 9741,CPD -28°4,15.35
L 9742,CPD -46°7,8.80
L 9746,CPD -56°20,1.71
L 9744,CPD -38°8,3.43
L 9747,CPD -26°9,3.57
L 9749,CPD -62°9,5.28
L 9748,CPD -45°9,5.59
L 9750,CPD -79°4,5.70
L 9752,CPD -78°4,3.06
L 9751,CPD -31°16,6.99
L 9756,CPD -82°4,2.07
L 9753,CPD -35°12,6.09
L 9754,CPD -55°16,2.42
L 9755,CPD -73°4,10.76
L 9757,CPD -41°13,9.17
L 9758,CPD -28°6,4.98
L 9759,CPD -56°29,6.95
L 9760,CPD -35°16,5.54
L 9761,CPD -42°10,2.86
L 9762,CPD -55°22,2.90
L 9764,CPD -80°3,4.80
L 9763,CPD -59°10,2.65
L 9765,CPD -76°11,0.79
L 9766,CPD -27°8,7.63
L 1,CPD -43°9,5.25
L 3,CPD -58°10,5.25
L 2,CPD -23°8,7.65
L 4,CPD -43°10,2.20
L 5,CPD -27°9,6.89
L 6,CPD -38°11,10.08
L 7,CPD -26°14,9.48
L 8,CPD -23°11,5.05
L 9,CPD -26°15,8.46
L 10,CPD -49°24,2.07
L 11,CPD -57°42,6.95
L 12,CPD -36°18,2.34
L 13,CPD -55°35,5.67
L 15,CPD -75°16,1.70
L 14,CPD -41°26,4.66
L 16,CPD -46°14,4.85
L 23,CPD -85°2,7.61
L 17,CPD -32°29,2.70
L 18,CPD -35°19,4.97
L 19,CPD -40°13,10.69
L 20,CPD -41°29,9.33
L 21,CPD -35°21,6.97
L 22,CPD -32°33,10.55
L 25,CPD -43°19,4.68
L 30,CPD -76°19,1.63
L 26,CPD -33°28,7.08
L 29,CPD -80°7,4.95
L 28,CPD -56°52,3.95
L 27,CPD -33°29,4.59
L 32,CPD -71°4,1.71
L 31,CPD -53°42,4.42
L 33,CPD -79°7,3.49
L 34,CPD -37°17,5.45
L 36,CPD -50°34,1.25
L 35,CPD -47°21,3.32
L 37,CPD -30°34,9.19
L 39,CPD -79°8,6.02
L 38,CPD -43°23,5.76
L 260,CPD -89°1,2.22
L 41,CPD -40°22,6.09
L 42,CPD -47°23,7.54
L 43,CPD -54°62,7.32
L 44,CPD -54°63,4.38
L 45,CPD -51°34,1.75
L 40,CPD -65°13,19.46
L 47,CPD -78°6,2.70
L 46,CPD -36°28,5.69
L 48,CPD -24°22,9.99
L 49,CPD -30°36,6.19
L 50,CPD -39°11,4.55
L 51,CPD -35°36,4.75
L 53,CPD -70°12,3.31
L 57,CPD -77°10,3.77
L 52,CPD -36°29,4.35
L 54,CPD -29°28,11.47
L 56,CPD -54°73,7.94
L 55,CPD -23°24,5.92
L 58,CPD -39°15,4.61
L 64,CPD -78°9,3.25
L 59,CPD -51°40,4.33
L 60,CPD -36°31,8.18
L 63,CPD -61°21,5.83
L 61,CPD -39°16,6.76
L 62,CPD -38°26,9.18
L 65,CPD -31°43,4.11
L 67,CPD -51°44,3.71
L 66,CPD -30°37,11.50
L 68,CPD -54°83,1.14
L 69,CPD -54°85,2.49
L 70,CPD -50°46,4.24
L 71,CPD -55°74,3.47
L 72,CPD -38°29,8.73
L 76,CPD -77°15,3.88
L 73,CPD -55°81,3.79
L 75,CPD -51°48,0.88
L 77,CPD -54°91,14.66
L 79,CPD -42°32,5.14
L 78,CPD -31°45,7.89
L 74,CPD -77°16,13.05
L 81,CPD -39°17,6.56
L 82,CPD -22°34,5.34
L 83,CPD -28°29,6.79
L 85,CPD -52°38,2.88
L 84,CPD -31°48,12.20
L 86,CPD -22°37,7.68
L 89,CPD -44°47,12.82
L 88,CPD -40°29,6.48
L 87,CPD -42°34,9.23
L 90,CPD -26°31,6.38
L 93,CPD -70°15,16.75
L 91,CPD -28°32,11.80
L 92,CPD -32°44,7.64
L 94,CPD -33°48,7.23
L 96,CPD -29°42,8.34
L 97,CPD -53°88,1.46
L 98,CPD -29°43,5.26
L 95,CPD -55°94,7.63
L 99,CPD -40°35,4.41
L 100,CPD -25°43,9.64
L 101,CPD -51°63,4.82
L 102,CPD -55°99,5.55
L 113,CPD -83°6,2.37
L 104,CPD -41°47,5.99
L 103,CPD -33°52,6.58
L 105,CPD -32°50,1.47
L 106,CPD -24°39,10.50
L 107,CPD -60°38,3.93
L 109,CPD -41°49,11.71
L 108,CPD -40°41,5.10
L 110,CPD -48°45,6.04
L 111,CPD -55°107,2.11
L 112,CPD -44°59,1.59
L 114,CPD -46°51,3.30
L 115,CPD -49°63,11.51
L 116,CPD -56°92,5.74
L 117,CPD -53°105,8.24
L 119,CPD -63°50,8.20
L 118,CPD -25°48,6.45
L 121,CPD -26°37,6.65
L 123,CPD -63°52,6.26
L 122,CPD -26°39,1.26
L 124,CPD -38°42,2.48
L 125,CPD -30°60,2.69
L 126,CPD -39°30,4.84
L 127,CPD -35°60,4.63
L 130,CPD -56°103,6.79
L 128,CPD -40°51,9.19
L 129,CPD -39°31,6.35
L 132,CPD -61°29,1.94
L 131,CPD -32°56,4.40
L 139,CPD -71°20,2.12
L 135,CPD -57°115,6.75
L 133,CPD -43°56,5.72
L 134,CPD -46°53,3.25
L 137,CPD -53°117,2.29
L 136,CPD -38°43,6.56
L 138,CPD -26°41,1.95
L 141,CPD -54°136,2.73
L 140,CPD -40°54,5.06
L 144,CPD -55°117,11.21
L 143,CPD -48°51,6.60
L 142,CPD -23°55,5.71
L 145,CPD -49°77,3.45
L 146,CPD -60°42,8.30
L 148,CPD -49°79,9.62
L 147,CPD -25°64,15.05
L 151,CPD -65°58,6.16
L 150,CPD -42°58,6.38
L 149,CPD -37°57,6.04
L 154,CPD -70°29,7.29
L 152,CPD -55°130,6.85
L 153,CPD -54°144,2.77
L 155,CPD -42°60,9.07
L 161,CPD -76°67,1.64
L 156,CPD -51°91,6.41
L 158,CPD -46°60,1.73
L 157,CPD -25°67,6.84
L 168,CPD -76°68,9.18
L 159,CPD -43°65,8.20
L 160,CPD -42°61,9.50
